,Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
397,William Cole Jr.,D,MD-02,77th,1942-10-26,Appointed federal judge,U.S. Congress,Other office,MD,1942
398,Vincent Harrington,D,IA-09,77th,1942-09-05,Joined the Army,U.S. Congress,Military service,IA,1942
400,Arthur Healey,D,MA-08,77th,1942-08-03,Appointed federal judge,U.S. Congress,Other office,MA,1942
401,Robert Secrest,D,OH-15,77th,1942-08-03,Joined the Navy,U.S. Congress,Military service,OH,1942
402,Charles Leavy,D,WA-05,77th,1942-08-01,Appointed federal judge,U.S. Congress,Other office,WA,1942
403,Joseph McArdle,D,PA-33,77th,1942-01-05,Elected to Pittsburgh City Council,U.S. Congress,Other office,PA,1942
404,Harold Flannery,D,PA-12,77th,1942-01-03,Elected Pennsylvania judge,U.S. Congress,Other office,PA,1942
405,Joseph Smith,D,CT-05,77th,1941-11-04,Appointed federal judge,U.S. Congress,Other office,CT,1941
406,Wall Doxey,D,MS-02,77th,1941-09-29,Elected U.S. senator,U.S. Congress,Other office,MS,1941
407,James Byrnes,D,SC-SEN,77th,1941-07-08,Appointed to U.S. Supreme Court,U.S. Congress,Other office,SC,1941
408,John Miller,D,AR-SEN,77th,1941-03-31,Appointed federal judge,U.S. Congress,Other office,AR,1941
409,Colgate Darden ,D,VA-02,77th,1941-03-01,To focus on his run for governor,U.S. Congress,Other office,VA,1941
410,Walter Bankhead,D,AL-07,77th,1941-02-01,Retured to his law practice (was always meant as a caretaker),Encyclopedia of Alabama,Private sector,AL,1941
411,Matthew Neely,D,WV-SEN,77th,1941-01-12,Elected West Virginia governor,U.S. Congress,Other office,WV,1941
412,Thomas Hennings,D,MO-11,76th,1940-12-31,Elected St. Louis circuit attorney,U.S. Congress,Other office,MO,1940
413,Mon Wallgren,D,WA-02,76th,1940-12-19,Appointed U.S. senator,U.S. Congress,Other office,WA,1940
414,Lewis Schwellenbach,D,WA-SEN,76th,1940-12-16,Appointed federal judge,U.S. Congress,Other office,WA,1940
415,Paul Maloney,D,LA-02,76th,1940-12-15,Became collector of internal revenue for New Orleans district,U.S. Congress,Other office,LA,1940
416,Marvin Jones,D,TX-18,76th,1940-11-20,Appointed federal judge,U.S. Congress,Other office,TX,1940
417,Lindsay Warren,D,NC-01,76th,1940-10-31,Appointed comptroller general,U.S. Congress,Other office,NC,1940
418,Clift Chandler,D,TN-09,76th,1940-01-02,Elected Memphis mayor,U.S. Congress,Other office,TN,1940
419,Alan Goldsborough,D,MD-01,76th,1939-04-05,Appointed federal judge,U.S. Congress,Other office,MD,1939
420,Edward Eicher,D,IA-01,75th,1938-12-02,Appointed to Roosevelt administration,U.S. Congress,Other office,IA,1938
421,James Mead,D,NY-42,75th,1938-12-02,Elected U.S. senator,U.S. Congress,Other office,NY,1938
422,William McAdoo,D,CA-SEN,75th,1938-11-08,Took a job with American Steamship Lines,Knoxville Focus,Private sector,CA,1938
424,Fred Vinson,D,KY-08,75th,1938-05-12,Appointed federal judge,U.S. Congress,Other office,KY,1938
426,Harry Moore,D,NJ-SEN,75th,1938-01-18,Elected New Jersey governor,U.S. Congress,Other office,NJ,1938
427,Lister Hill,D,AL-02,75th,1938-01-11,Appointed U.S. senator,U.S. Congress,Other office,AL,1938
428,Dixie Bibb Graves,D,AL-SEN,75th,1938-01-10,Appointment was expiring; resigned to let successor start early,Encyclopedia of Alabama,Left early,AL,1938
429,Henry Ellenbogen,D,PA-33,75th,1938-01-03,Elected Pennsylvania judge,U.S. Congress,Other office,PA,1938
430,John Miller,D,AR-02,75th,1937-11-14,Elected U.S. senator,U.S. Congress,Other office,AR,1937
431,John Higgins,D,MA-11,75th,1937-09-30,Appointed Massachusetts judge,U.S. Congress,Other office,MA,1937
433,Hugo Black,D,AL-SEN,75th,1937-08-19,Appointed to U.S. Supreme Court,U.S. Congress,Other office,AL,1937
434,Frank Kloeb,D,OH-04,75th,1937-08-19,Appointed federal judge,U.S. Congress,Other office,OH,1937
435,Prentiss Brown,D,MI-11,74th,1936-11-18,Appointed U.S. senator,U.S. Congress,Other office,MI,1936
436,Guy Gillette,D,IA-09,74th,1936-11-03,Elected U.S. senator,U.S. Congress,Other office,IA,1936
437,Samuel Hill,D,WA-05,74th,1936-06-25,Appointed federal judge,U.S. Congress,Other office,WA,1936
438,Mell Underwood,D,OH-11,74th,1936-04-10,Appointed federal judge,U.S. Congress,Other office,OH,1936
439,William Brunner,D,NY-02,74th,1935-09-27,Elected Queens County sheriff,U.S. Congress,Other office,NY,1935
440,William Arnold,D,IL-23,74th,1935-09-16,Appointed federal judge,U.S. Congress,Other office,IL,1935
441,Michael Igoe,D,IL-AL,74th,1935-06-02,Appointed to Roosevelt administration,U.S. Congress,Other office,IL,1935
442,John McDuffie,D,AL-01,74th,1935-03-02,Appointed federal judge,U.S. Congress,Other office,AL,1935
443,Francis Condon,D,RI-01,74th,1935-01-10,Appointed Rhode Island judge,U.S. Congress,Other office,RI,1935
445,W.A. Ayres,D,KS-05,73rd,1934-08-22,Appointed to Roosevelt administration,U.S. Congress,Other office,KS,1934
446,Frank Oliver,D,NY-23,73rd,1934-06-18,Appointed New York City magistrate,U.S. Congress,Other office,NY,1934
448,Earl Major,D,IL-21,73rd,1933-10-06,Appointed federal judge,U.S. Congress,Other office,IL,1933
449,Sam Bratton,D,NM-SEN,73rd,1933-06-24,Appointed federal judge,U.S. Congress,Other office,NM,1933
450,Heartsill Ragon,D,AR-05,73rd,1933-06-16,Appointed federal judge,U.S. Congress,Other office,AR,1933
451,Lewis Douglas,D,AZ-AL,72nd,1933-03-04,Appointed to Roosevelt administration,U.S. Congress,Other office,AZ,1933
452,Cordell Hull,D,TN-SEN,72nd,1933-03-03,Appointed to Roosevelt administration,U.S. Congress,Other office,TN,1933
453,John Nance Garner,D,TX-15,72nd,1933-03-03,Elected vice president,U.S. Congress,Other office,TX,1933
454,Claude Swanson,D,VA-SEN,72nd,1933-03-03,Appointed to Roosevelt administration,U.S. Congress,Other office,VA,1933
455,Harry Hawes,D,MO-SEN,72nd,1933-02-03,Retired; resigned early to give successor seniority,St. Louis Post-Dispatch,Left early,MO,1933
457,Charles Crisp,D,GA-03,72nd,1932-10-07,Appointed to U.S. Tariff Commission,U.S. Congress,Other office,GA,1932
462,David Kincheloe,D,KY-02,71st,1930-10-05,Appointed federal judge,U.S. Congress,Other office,KY,1930
463,Jeremiah O'Connell,D,RI-03,71st,1930-05-09,Appointed Rhode Island judge,U.S. Congress,Other office,RI,1930
464,Augustus McCloskey,D,TX-14,71st,1930-02-10,His election was successfully contested & overturned,U.S. Congress,Election overturned,TX,1930
467,John Carew,D,NY-18,71st,1929-12-28,Appointed New York Supreme Court justice,U.S. Congress,Other office,NY,1929
475,William Bowling,D,AL-05,70th,1928-08-16,Appointed Alabama judge,U.S. Congress,Other office,AL,1928
479,Harry Hawes,D,MO-11,69th,1926-10-15,To focus on his run for Senate,U.S. Congress,Other office,MO,1926
484,William Fields,D,KY-09,68th,1923-12-11,Elected Kentucky governor,U.S. Congress,Other office,KY,1923
489,Thomas Harrison,D,VA-07,67th,1922-12-15,His election was successfully contested & overturned,U.S. Congress,Election overturned,VA,1922
497,Josiah Wolcott,D,DE-SEN,67th,1921-07-02,Appointed Delaware chancellor,U.S. Congress,Other office,DE,1921
501,Patrick McLane,D,PA-10,66th,1921-02-25,His election was successfully contested & overturned,U.S. Congress,Election overturned,PA,1921
502,John Nugent,D,ID-SEN,66th,1921-01-14,Appointed to Wilson administration,Spokane Spokesman-Review,Other office,ID,1921
506,Thomas Heflin,D,AL-05,66th,1920-11-01,To focus on his run for Senate,U.S. Congress,Other office,AL,1920
508,Edward Saunders,D,VA-05,66th,1920-02-29,Elected Virginia judge,U.S. Congress,Other office,VA,1920
512,Joshua Alexander,D,MO-03,66th,1919-12-15,Appointed to Wilson administration,U.S. Congress,Other office,MO,1919
513,Edwin Webb,D,NC-09,66th,1919-11-10,Appointed federal judge,U.S. Congress,Other office,NC,1919
514,John F. Fitzgerald,D,MA-10,66th,1919-10-23,His election was successfully contested & overturned,U.S. Congress,Election overturned,MA,1919
515,Frank Lever,D,SC-07,66th,1919-08-01,Appointed to Federal Farm Loan Board,U.S. Congress,Other office,SC,1919
516,James Wilson,D,TX-12,65th,1919-03-03,Appointed federal judge,U.S. Congress,Other office,TX,1919
517,Charles Carlin,D,VA-08,65th,1919-03-03,Returned to his law practice,Washington Post,Private sector,VA,1919
518,Zebulon Weaver,D,NC-10,65th,1919-03-01,His election was successfully contested & overturned,U.S. Congress,Election overturned,NC,1919
519,Harry Dale,D,NY-04,65th,1919-01-06,Appointed New York judge,U.S. Congress,Other office,NY,1919
522,Carter Glass,D,VA-06,65th,1918-12-16,Appointed to Wilson administration,U.S. Congress,Other office,VA,1918
524,Murray Hulbert,D,NY-21,65th,1918-01-01,Appointed director of Port of New York City,U.S. Congress,Other office,NY,1918
525,John J. Fitzgerald,D,NY-07,65th,1917-12-31,Resumed practicing law,U.S. Congress,Private sector,NY,1917
526,Daniel Griffin,D,NY-08,65th,1917-12-31,Elected Kings County sheriff,U.S. Congress,Other office,NY,1917
527,Henry Bruckner,D,NY-22,65th,1917-12-31,Elected Bronx borough president,U.S. Congress,Other office,NY,1917
528,William Adamson,D,GA-04,65th,1917-12-18,Appointed federal judge,U.S. Congress,Other office,GA,1917
532,James Hay,D,VA-07,64th,1916-10-01,Appointed federal judge,New York Times,Other office,VA,1916
534,Joseph Johnson,D,SC-04,64th,1915-04-19,Appointed federal judge,Find a Grave,Other office,SC,1915
535,Eugene Kinkead,D,NJ-08,63rd,1915-02-04,"Elected Hudson County sheriff, right to vote in House challenged",Christian Science Monitor,Other office,NJ,1915
536,Timothy Ansberry,D,OH-05,63rd,1915-01-09,Appointed Ohio judge,U.S. Congress,Other office,OH,1915
538,Winfield Hammond,D,MN-02,63rd,1915-01-06,Elected Minnesota governor,U.S. Congress,Other office,MN,1915
539,Denis O'Leary,D,NY-02,63rd,1914-12-31,Elected Queens district attorney,New York Times,Other office,NY,1914
540,Thomas Hardwick,D,GA-10,63rd,1914-11-02,To focus on his run for Senate,U.S. Congress,Other office,GA,1914
541,Walter McCoy,D,NJ-09,63rd,1914-10-03,Appointed federal judge,U.S. Congress,Other office,NJ,1914
542,Harry Covington,D,MD-01,63rd,1914-09-30,Appointed federal judge,U.S. Congress,Other office,MD,1914
543,William Murray,D,MA-10,63rd,1914-09-28,Appointed postmaster of Boston,U.S. Congress,Other office,MA,1914
544,Andrew Peters,D,MA-11,63rd,1914-08-15,Appointed to Wilson administration,U.S. Congress,Other office,MA,1914
545,William Sharp,D,OH-14,63rd,1914-07-23,Appointed to Wilson administration,U.S. Congress,Other office,OH,1914
546,James McDermott,D,IL-04,63rd,1914-07-21,"Implicated in lobbying scandal, resigned to avoid expulsion ",Sacramento Union,Other scandals,IL,1914
548,Henry Clayton,D,AL-03,63rd,1914-05-25,Appointed federal judge,U.S. Congress,Other office,AL,1914
549,James Michael Curley,D,MA-12,63rd,1914-02-04,Elected Boston mayor,U.S. Congress,Other office,MA,1914
550,Francis Harrison,D,NY-20,63rd,1913-09-01,Appointed Philippines governor,U.S. Congress,Other office,NY,1913
551,John W. Davis,D,WV-01,63rd,1913-08-29,Appointed to Wilson administration,U.S. Congress,Other office,WV,1913
553,Albert Burleson,D,TX-10,63rd,1913-03-06,Appointed to Wilson administration,U.S. Congress,Other office,TX,1913
555,Morris Sheppard,D,TX-01,62nd,1913-02-03,Elected U.S. senator,U.S. Congress,Other office,TX,1913
556,Joe T. Robinson,D,AR-06,62nd,1913-01-14,Elected Arkansas governor,U.S. Congress,Other office,AR,1913
557,James Cox,D,OH-03,62nd,1913-01-12,Elected Ohio governor,U.S. Congress,Other office,OH,1913
559,Joseph Bailey,D,TX-SEN,62nd,1913-01-03,Retired; left early in disgust at election of progressive Wilson,"""Joe Bailey, the Last Democrat"" (p. 316)",,TX,1913
560,Bill Sulzer,D,NY-10,62nd,1912-12-31,Elected New York governor,U.S. Congress,Other office,NY,1912
562,William Hughes,D,NJ-06,62nd,1912-09-27,Appointed New Jersey judge,U.S. Congress,Other office,NJ,1912
565,Joseph Terrell,D,GA-SEN,62nd,1911-07-14,Had a stroke,University of Georgia,Health/family,GA,1911
570,Eugene Foss,D,MA-14,61st,1911-01-04,Elected Massachusetts governor,U.S. Congress,Other office,MA,1911
571,Gordon Russell,D,TX-03,61st,1910-06-14,Appointed federal judge,U.S. Congress,Other office,TX,1910
572,Fountain Thompson,D,ND-SEN,61st,1910-01-31,Ill health but was suspected to be political maneuvering,Bismarck Tribune,,ND,1910
576,William Kitchin,D,NC-05,60th,1909-01-11,Elected North Carolina governor,U.S. Congress,Other office,NC,1909
584,John Little,D,AR-04,59th,1907-01-14,Elected Arkansas governor,U.S. Congress,Other office,AR,1907
586,Malcolm Patterson,D,TN-10,59th,1906-11-05,Elected Tennessee governor,U.S. Congress,Other office,TN,1906
588,Tim Sullivan,D,NY-08,59th,1906-07-27,Bored with Congress; returned to exercise boss power in NY & run for State Senate in 1908,Brooklyn Daily Eagle,,NY,1906
589,Ernest Wood,D,MO-12,59th,1906-06-23,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1906
591,Claude Swanson,D,VA-05,59th,1906-01-30,Elected Virginia governor,U.S. Congress,Other office,VA,1906
600,John Shafroth,D,CO-01,58th,1904-02-15,Agreed that his opponent had rightfully won the election,U.S. Congress,Election overturned,CO,1904
601,George Howell,D,PA-11,58th,1904-02-10,His election was successfully contested & overturned,U.S. Congress,Election overturned,PA,1904
602,George McClellan Jr.,D,NY-12,58th,1903-12-21,Elected New York City mayor,U.S. Congress,Other office,NY,1903
603,Thomas Ball,D,TX-08,58th,1903-11-16,Resumed practicing law,Texas State Historical Association,Private sector,TX,1903
607,James Butler,D,MO-12,57th,1903-02-26,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1903
608,S.W.T. Lanham,D,TX-08,57th,1903-01-15,Elected Texas governor,U.S. Congress,Other office,TX,1903
609,James Hall,D,PA-28,57th,1902-11-29,Elected to PA State Senate,U.S. Congress,Other office,PA,1902
611,James Butler,D,MO-12,57th,1902-06-28,Election declared invalid,U.S. Congress,Election overturned,MO,1902
613,John Rhea,D,KY-03,57th,1902-03-25,His election was successfully contested & overturned,U.S. Congress,Election overturned,KY,1902
614,Nicholas Muller,D,NY-07,57th,1901-11-22,Ill health,New York Times,Health/family,NY,1901
